FIPS,wave,threshold,effective,date issued,date enforcement
36061,wave_1,3000000.0,2016-03-01,2016-01-13,2016-03-01
12086,wave_1,1000000.0,2016-03-01,2016-01-13,2016-03-01
48029,wave_1,,2016-03-01,2016-01-13,2016-03-01
12011,wave_1,,2016-03-01,2016-01-13,2016-03-01
12099,wave_1,,2016-03-01,2016-01-13,2016-03-01
36005,wave_1,,2016-03-01,2016-01-13,2016-03-01
36047,wave_1,,2016-03-01,2016-01-13,2016-03-01
36081,wave_1,,2016-03-01,2016-01-13,2016-03-01
36085,wave_1,,2016-03-01,2016-01-13,2016-03-01
06073,wave_1,,2016-03-01,2016-01-13,2016-03-01
06037,wave_1,,2016-03-01,2016-01-13,2016-03-01
06075,wave_1,,2016-03-01,2016-01-13,2016-03-01
06081,wave_1,,2016-03-01,2016-01-13,2016-03-01
06085,wave_1,,2016-03-01,2016-01-13,2016-03-01
15003,wave_1,,2016-03-01,2016-01-13,2016-03-01
48439,wave_1,,2016-03-01,2016-01-13,2016-03-01
48113,wave_1,,2016-03-01,2016-01-13,2016-03-01
32003,wave_1,,2016-03-01,2016-01-13,2016-03-01
53033,wave_1,,2016-03-01,2016-01-13,2016-03-01
25025,wave_1,,2016-03-01,2016-01-13,2016-03-01
25017,wave_1,,2016-03-01,2016-01-13,2016-03-01
17031,wave_1,,2016-03-01,2016-01-13,2016-03-01
36061,wave_2,3000000.0,2016-09-01,2016-07-22,2016-08-28
12086,wave_2,1000000.0,2016-09-01,2016-07-22,2016-08-28
48029,wave_2,500000.0,2016-09-01,2016-07-22,2016-08-28
12011,wave_2,1000000.0,2016-09-01,2016-07-22,2016-08-28
12099,wave_2,1000000.0,2016-09-01,2016-07-22,2016-08-28
36005,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
36047,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
36081,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
36085,wave_2,1500000.0,2016-09-01,2016-07-22,2016-08-28
06073,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06037,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06075,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06081,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
06085,wave_2,2000000.0,2016-09-01,2016-07-22,2016-08-28
15003,wave_2,,2016-09-01,2016-07-22,2016-08-28
48439,wave_2,,2016-09-01,2016-07-22,2016-08-28
48113,wave_2,,2016-09-01,2016-07-22,2016-08-28
32003,wave_2,,2016-09-01,2016-07-22,2016-08-28
53033,wave_2,,2016-09-01,2016-07-22,2016-08-28
25025,wave_2,,2016-09-01,2016-07-22,2016-08-28
25017,wave_2,,2016-09-01,2016-07-22,2016-08-28
17031,wave_2,,2016-09-01,2016-07-22,2016-08-28
36061,wave_3,3000000.0,2017-03-01,2017-02-21,2017-02-24
12086,wave_3,1000000.0,2017-03-01,2017-02-21,2017-02-24
48029,wave_3,500000.0,2017-03-01,2017-02-21,2017-02-24
12011,wave_3,1000000.0,2017-03-01,2017-02-21,2017-02-24
12099,wave_3,1000000.0,2017-03-01,2017-02-21,2017-02-24
36005,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
36047,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
36081,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
36085,wave_3,1500000.0,2017-03-01,2017-02-21,2017-02-24
06073,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06037,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06075,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06081,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
06085,wave_3,2000000.0,2017-03-01,2017-02-21,2017-02-24
15003,wave_3,,2017-03-01,2017-02-21,2017-02-24
48439,wave_3,,2017-03-01,2017-02-21,2017-02-24
48113,wave_3,,2017-03-01,2017-02-21,2017-02-24
32003,wave_3,,2017-03-01,2017-02-21,2017-02-24
53033,wave_3,,2017-03-01,2017-02-21,2017-02-24
25025,wave_3,,2017-03-01,2017-02-21,2017-02-24
25017,wave_3,,2017-03-01,2017-02-21,2017-02-24
17031,wave_3,,2017-03-01,2017-02-21,2017-02-24
36061,wave_4,3000000.0,2017-09-01,2017-08-21,2017-08-23
12086,wave_4,1000000.0,2017-09-01,2017-08-21,2017-08-23
48029,wave_4,500000.0,2017-09-01,2017-08-21,2017-08-23
12011,wave_4,1000000.0,2017-09-01,2017-08-21,2017-08-23
12099,wave_4,1000000.0,2017-09-01,2017-08-21,2017-08-23
36005,wave_4,1500000.0,2017-09-01,2017-08-21,2017-08-23
36047,wave_4,1500000.0,2017-09-01,2017-08-21,2017-08-23
36081,wave_4,1500000.0,2017-09-01,2017-08-21,2017-08-23
36085,wave_4,1500000.0,2017-09-01,2017-08-21,2017-08-23
06073,wave_4,2000000.0,2017-09-01,2017-08-21,2017-08-23
06037,wave_4,2000000.0,2017-09-01,2017-08-21,2017-08-23
06075,wave_4,2000000.0,2017-09-01,2017-08-21,2017-08-23
06081,wave_4,2000000.0,2017-09-01,2017-08-21,2017-08-23
06085,wave_4,2000000.0,2017-09-01,2017-08-21,2017-08-23
15003,wave_4,3000000.0,2017-09-01,2017-08-21,2017-08-23
48439,wave_4,,2017-09-01,2017-08-21,2017-08-23
48113,wave_4,,2017-09-01,2017-08-21,2017-08-23
32003,wave_4,,2017-09-01,2017-08-21,2017-08-23
53033,wave_4,,2017-09-01,2017-08-21,2017-08-23
25025,wave_4,,2017-09-01,2017-08-21,2017-08-23
25017,wave_4,,2017-09-01,2017-08-21,2017-08-23
17031,wave_4,,2017-09-01,2017-08-21,2017-08-23
36061,wave_5,3000000.0,2018-03-01,2018-02-21,2018-02-24
12086,wave_5,1000000.0,2018-03-01,2018-02-21,2018-02-24
48029,wave_5,500000.0,2018-03-01,2018-02-21,2018-02-24
12011,wave_5,1000000.0,2018-03-01,2018-02-21,2018-02-24
12099,wave_5,1000000.0,2018-03-01,2018-02-21,2018-02-24
36005,wave_5,1500000.0,2018-03-01,2018-02-21,2018-02-24
36047,wave_5,1500000.0,2018-03-01,2018-02-21,2018-02-24
36081,wave_5,1500000.0,2018-03-01,2018-02-21,2018-02-24
36085,wave_5,1500000.0,2018-03-01,2018-02-21,2018-02-24
06073,wave_5,2000000.0,2018-03-01,2018-02-21,2018-02-24
06037,wave_5,2000000.0,2018-03-01,2018-02-21,2018-02-24
06075,wave_5,2000000.0,2018-03-01,2018-02-21,2018-02-24
06081,wave_5,2000000.0,2018-03-01,2018-02-21,2018-02-24
06085,wave_5,2000000.0,2018-03-01,2018-02-21,2018-02-24
15003,wave_5,3000000.0,2018-03-01,2018-02-21,2018-02-24
48439,wave_5,,2018-03-01,2018-02-21,2018-02-24
48113,wave_5,,2018-03-01,2018-02-21,2018-02-24
32003,wave_5,,2018-03-01,2018-02-21,2018-02-24
53033,wave_5,,2018-03-01,2018-02-21,2018-02-24
25025,wave_5,,2018-03-01,2018-02-21,2018-02-24
25017,wave_5,,2018-03-01,2018-02-21,2018-02-24
17031,wave_5,,2018-03-01,2018-02-21,2018-02-24
36061,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
12086,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
48029,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
12011,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
12099,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
36005,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
36047,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
36081,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
36085,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
06073,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
06037,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
06075,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
06081,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
06085,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
15003,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
48439,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
48113,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
32003,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
53033,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
25025,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
25017,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
17031,wave_6,300000,2018-01-01,2018-11-15,2018-11-17
36061,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
12086,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
48029,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
12011,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
12099,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
36005,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
36047,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
36081,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
36085,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
06073,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
06037,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
06075,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
06081,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
06085,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
15003,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
48439,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
48113,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
32003,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
53033,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
25025,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
25017,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
17031,wave_7,300000,2019-06-01,2019-05-14,2019-05-16
